Orange Mocha,A tangy and sweet orange mocha.,3.4,5,true
Lemon-Orange Orange Roughy,Orange roughy fillets with a citrus twist. Very quick to prepare.,4.39,15,false
Lemon Whippersnappers,"Lemon Whippersnappers, lemon crinkles, same thing!  This is a formed (ball) cookie rolled in powdered sugar, like chocolate crinkle cookies, only flavored with lemon.",4.25,18,true
Gorgonzola Butter,Yummy! This butter tastes great on steak.,4.91,5,false
Ratatouille de mamie,"Des poivrons, des tomates...",2.2,20,true
Beef Ball,"Break out the beef ball and get the party rolling! Dried chipped beef and cheese are rolled into a tantalizing treat that's great with buttery, round crackers, vegetables and tortilla chips.",3.75,15,false
Sesame Seared Tuna,"Easy, great tasting tuna coated with sesame seeds, and quickly seared. This tuna is served rare, so be sure to use a good quality fresh tuna.",4.7,10,false
Ratatouille de mamie,Beaucoup de poivrons,4,10,false
Tomato Chops I,"Tomato: Fruit or Vegetable?! Discuss amongst yourselves. Meanwhile, prepare these chops with a tomato based sauce and serve them with hot cooked pasta and fresh sliced mushrooms.",4.26,4,true
